espn_id,name,position,season,college_team,stat_category,receptions,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,rushingTouchdowns,longRushing,completions,passingAttempts,completionPct,passingYards,yardsPerPassAttempt,passingTouchdowns,interceptions,longPassing,sacks,QBRating
4430807,Bijan Robinson,RB,2021,texas-longhorns,receiving,26,295,11.3,4,38,,,,,,,,,,,,,,,
4430807,Bijan Robinson,RB,2022,texas-longhorns,receiving,19,314,16.5,2,42,,,,,,,,,,,,,,,
3871102,David Sills V,WR,2015,west-virginia-mountaineers,receiving,7,131,18.7,2,35,,,,,,,,,,,,,,,
3871102,David Sills V,WR,2017,west-virginia-mountaineers,receiving,60,980,16.3,18,75,,,,,,,,,,,,,,,
3871102,David Sills V,WR,2018,west-virginia-mountaineers,receiving,65,986,15.2,15,65,,,,,,,,,,,,,,,
3871102,David Sills V,WR,2018,west-virginia-mountaineers,rushing,,,,,,0,14,0.0,0,14,,,,,,,,,,
4430482,Joshua Simon,TE,2019,western-kentucky-hilltoppers,receiving,30,430,14.3,4,77,,,,,,,,,,,,,,,
4430482,Joshua Simon,TE,2020,western-kentucky-hilltoppers,receiving,33,370,11.2,3,40,,,,,,,,,,,,,,,
4430482,Joshua Simon,TE,2021,western-kentucky-hilltoppers,receiving,3,73,24.3,2,45,,,,,,,,,,,,,,,
4430482,Joshua Simon,TE,2022,western-kentucky-hilltoppers,receiving,20,273,13.6,7,47,,,,,,,,,,,,,,,
